id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1035,Female,26,1,41.0,1,< 1 Year,No,37091.0,152.0,99,0
1036,Female,38,1,5.0,0,1-2 Year,Yes,2630.0,163.0,37,1
1037,Male,28,1,28.0,1,< 1 Year,No,35949.0,152.0,256,0
1038,Male,29,1,29.0,1,< 1 Year,No,22042.0,152.0,298,0
1039,Female,26,1,41.0,1,< 1 Year,No,26473.0,152.0,217,0
1040,Male,55,1,28.0,0,1-2 Year,Yes,34283.0,26.0,20,0
1041,Male,69,1,32.0,1,1-2 Year,No,32162.0,26.0,217,0
1042,Female,42,1,36.0,1,1-2 Year,No,23419.0,152.0,88,0
1043,Male,49,1,33.0,1,1-2 Year,No,34644.0,124.0,224,0
1044,Female,23,1,14.0,1,< 1 Year,No,23739.0,151.0,261,0
1045,Female,74,1,28.0,1,1-2 Year,No,41034.0,26.0,30,0
1046,Male,22,1,48.0,1,< 1 Year,No,2630.0,152.0,134,0
1047,Male,64,1,3.0,1,1-2 Year,No,29613.0,26.0,201,0
1048,Female,33,1,33.0,1,1-2 Year,No,35681.0,124.0,109,0
1049,Male,25,1,8.0,1,< 1 Year,No,71938.0,152.0,271,0
1050,Male,21,1,33.0,1,< 1 Year,No,31179.0,152.0,86,0
1051,Male,53,1,28.0,0,1-2 Year,Yes,38847.0,26.0,284,0
1052,Male,44,1,8.0,0,1-2 Year,Yes,2630.0,163.0,121,0
1053,Female,41,1,28.0,0,1-2 Year,Yes,45879.0,150.0,207,1
1054,Male,22,1,11.0,1,< 1 Year,No,30453.0,152.0,99,0
1055,Male,46,1,1.0,1,1-2 Year,No,2630.0,124.0,292,0
1056,Female,63,1,28.0,0,1-2 Year,Yes,50551.0,122.0,122,0
1057,Male,24,1,31.0,1,1-2 Year,No,2630.0,124.0,264,0
1058,Male,44,1,0.0,0,1-2 Year,Yes,2630.0,26.0,113,0
1059,Female,27,1,28.0,1,< 1 Year,No,53600.0,152.0,260,0
1060,Female,29,1,8.0,0,< 1 Year,Yes,39106.0,152.0,30,1
1061,Female,59,1,13.0,0,1-2 Year,Yes,24671.0,124.0,63,0
1062,Male,57,1,45.0,0,1-2 Year,Yes,2630.0,26.0,59,0
1063,Female,74,1,33.0,0,1-2 Year,Yes,32940.0,124.0,14,0
1064,Male,62,1,28.0,0,1-2 Year,Yes,36204.0,124.0,223,0
1065,Male,52,1,41.0,0,1-2 Year,Yes,2630.0,124.0,59,0
1066,Male,62,1,41.0,0,1-2 Year,Yes,26951.0,124.0,12,0
1067,Female,27,1,11.0,1,< 1 Year,No,2630.0,160.0,290,0
1068,Male,22,1,8.0,1,< 1 Year,No,75844.0,152.0,29,0
1069,Female,26,1,41.0,1,1-2 Year,No,39330.0,154.0,227,0
1070,Female,43,1,15.0,1,1-2 Year,No,23937.0,122.0,264,0
1071,Male,24,1,11.0,1,< 1 Year,No,24414.0,152.0,291,0
1072,Female,21,1,8.0,1,< 1 Year,No,46857.0,152.0,282,0
1073,Female,28,1,17.0,0,< 1 Year,Yes,29191.0,152.0,101,0
1074,Female,65,1,48.0,1,1-2 Year,Yes,2630.0,15.0,227,0
1075,Female,26,1,15.0,0,< 1 Year,No,2630.0,160.0,34,0
1076,Male,52,1,10.0,1,1-2 Year,No,2630.0,30.0,22,0
1077,Male,42,1,28.0,0,1-2 Year,Yes,34082.0,124.0,201,0
1078,Male,22,1,41.0,0,< 1 Year,Yes,26284.0,152.0,286,0
1079,Male,54,1,8.0,0,1-2 Year,Yes,50795.0,7.0,142,0
1080,Male,40,1,27.0,1,1-2 Year,No,34071.0,124.0,76,0
1081,Male,21,1,15.0,0,< 1 Year,Yes,30087.0,160.0,83,0
1082,Female,43,1,28.0,0,1-2 Year,Yes,47971.0,124.0,71,1
1083,Female,25,1,47.0,1,< 1 Year,No,36654.0,152.0,70,0
1084,Male,46,1,0.0,0,1-2 Year,Yes,2630.0,122.0,286,0
1085,Female,27,1,6.0,1,< 1 Year,No,35186.0,152.0,78,0
1086,Male,23,1,36.0,1,< 1 Year,No,28974.0,152.0,250,0
1087,Female,21,1,45.0,1,< 1 Year,No,24778.0,152.0,160,0
1088,Male,58,1,19.0,0,1-2 Year,No,29782.0,124.0,50,0
1089,Female,22,1,46.0,0,< 1 Year,Yes,42892.0,152.0,157,0
1090,Male,55,1,8.0,0,1-2 Year,Yes,32013.0,124.0,76,0
1091,Female,46,1,28.0,0,1-2 Year,Yes,57248.0,124.0,124,0
1092,Male,55,1,45.0,0,1-2 Year,Yes,28473.0,26.0,255,1
1093,Male,44,1,28.0,0,1-2 Year,Yes,46393.0,124.0,18,0
1094,Female,21,1,30.0,1,< 1 Year,No,27415.0,152.0,146,0
1095,Male,51,1,4.0,0,1-2 Year,Yes,27153.0,155.0,32,0
1096,Male,35,1,45.0,0,1-2 Year,Yes,2630.0,124.0,82,1
1097,Female,53,1,20.0,0,1-2 Year,Yes,2630.0,157.0,186,1
1098,Female,36,1,36.0,1,1-2 Year,No,30744.0,152.0,217,0
1099,Male,78,1,46.0,1,1-2 Year,No,26313.0,26.0,124,0
1100,Male,35,1,28.0,1,1-2 Year,No,34973.0,152.0,85,0
1101,Male,41,1,28.0,0,1-2 Year,Yes,26332.0,124.0,257,0
1102,Male,21,1,50.0,1,< 1 Year,No,40721.0,160.0,74,0
1103,Female,60,1,28.0,0,1-2 Year,Yes,41444.0,124.0,44,0
1104,Female,71,1,12.0,0,1-2 Year,Yes,2630.0,156.0,147,0
1105,Female,60,1,11.0,0,> 2 Years,Yes,30496.0,26.0,191,0
1106,Female,24,1,10.0,1,< 1 Year,No,18164.0,152.0,153,0
1107,Female,27,1,30.0,1,< 1 Year,No,26587.0,152.0,88,0
1108,Male,22,1,6.0,1,< 1 Year,No,20647.0,152.0,140,0
1109,Male,45,1,35.0,1,1-2 Year,No,28562.0,10.0,33,0
1110,Female,39,1,8.0,1,1-2 Year,No,34157.0,26.0,102,0
1111,Male,26,1,39.0,1,< 1 Year,No,37824.0,152.0,124,0
1112,Male,33,1,29.0,0,< 1 Year,Yes,31940.0,124.0,225,1
1113,Male,20,1,12.0,0,< 1 Year,Yes,34171.0,160.0,91,0
1114,Male,26,1,28.0,1,< 1 Year,No,35000.0,152.0,263,0
1115,Female,43,1,28.0,0,1-2 Year,Yes,36841.0,124.0,213,0
1116,Female,37,1,15.0,1,1-2 Year,No,32568.0,152.0,200,0
1117,Female,41,1,37.0,0,1-2 Year,Yes,30708.0,26.0,208,0
1118,Male,76,1,28.0,0,1-2 Year,Yes,42308.0,122.0,53,0
1119,Male,56,1,7.0,1,1-2 Year,No,40115.0,124.0,216,0
1120,Male,47,1,47.0,1,1-2 Year,No,38476.0,26.0,235,0
1121,Female,22,1,30.0,1,< 1 Year,No,34343.0,152.0,172,0
1122,Male,57,1,28.0,1,1-2 Year,No,41121.0,26.0,195,0
1123,Female,35,1,39.0,0,1-2 Year,Yes,33236.0,124.0,281,0
1124,Female,67,1,28.0,0,> 2 Years,Yes,25741.0,124.0,154,0
1125,Female,25,1,9.0,0,< 1 Year,Yes,25454.0,152.0,203,0
1126,Male,54,1,28.0,0,1-2 Year,Yes,46061.0,124.0,202,0
1127,Female,64,1,39.0,0,1-2 Year,Yes,31945.0,26.0,160,0
1128,Male,66,1,28.0,1,1-2 Year,Yes,23864.0,26.0,125,0
1129,Male,27,1,21.0,1,< 1 Year,No,2630.0,152.0,167,0
1130,Male,47,1,28.0,0,1-2 Year,Yes,36765.0,26.0,223,1
1131,Male,29,1,36.0,1,< 1 Year,No,29990.0,160.0,225,0
1132,Male,47,1,8.0,0,1-2 Year,Yes,42545.0,154.0,141,0
1133,Female,52,1,3.0,0,1-2 Year,Yes,22429.0,26.0,151,1
1134,Male,37,1,28.0,0,1-2 Year,Yes,37157.0,152.0,28,0
1135,Female,21,1,8.0,0,< 1 Year,Yes,29207.0,152.0,84,0
1136,Male,23,1,11.0,0,< 1 Year,Yes,39333.0,152.0,87,1
1137,Female,34,1,28.0,0,1-2 Year,Yes,53029.0,23.0,286,1
1138,Male,25,1,28.0,1,< 1 Year,No,40891.0,152.0,130,0
1139,Male,21,1,8.0,1,< 1 Year,No,48163.0,160.0,146,0
1140,Male,60,1,33.0,0,1-2 Year,Yes,36714.0,26.0,255,0
1141,Male,22,1,8.0,0,< 1 Year,Yes,26471.0,152.0,173,0
1142,Male,24,1,41.0,1,< 1 Year,No,42865.0,160.0,206,0
1143,Male,40,1,28.0,0,1-2 Year,No,29786.0,124.0,150,0
1144,Female,50,1,8.0,0,> 2 Years,Yes,54656.0,26.0,48,0
1145,Male,41,1,48.0,0,1-2 Year,Yes,2630.0,124.0,19,0
1146,Female,38,1,3.0,0,1-2 Year,Yes,42553.0,30.0,35,0
1147,Male,48,1,28.0,0,1-2 Year,Yes,44324.0,26.0,173,1
1148,Female,23,1,14.0,1,< 1 Year,No,63624.0,152.0,146,0
1149,Female,23,1,30.0,1,< 1 Year,No,23191.0,152.0,181,0
1150,Female,22,1,40.0,1,< 1 Year,No,44181.0,26.0,100,0
1151,Male,54,1,15.0,0,1-2 Year,Yes,43179.0,124.0,182,0
1152,Male,45,1,28.0,0,1-2 Year,Yes,33889.0,26.0,198,1
1153,Male,24,1,6.0,1,< 1 Year,No,40412.0,152.0,67,0
1154,Male,23,1,46.0,1,< 1 Year,No,36726.0,152.0,241,0
1155,Male,61,1,47.0,0,1-2 Year,Yes,24405.0,124.0,278,0
1156,Male,30,1,28.0,1,1-2 Year,Yes,36377.0,26.0,155,0
1157,Male,44,1,28.0,0,1-2 Year,Yes,45850.0,26.0,287,0
1158,Female,62,1,48.0,1,1-2 Year,No,2630.0,15.0,286,0
1159,Female,47,1,41.0,0,1-2 Year,Yes,34991.0,26.0,259,0
1160,Male,38,1,48.0,1,1-2 Year,No,2630.0,124.0,260,0
1161,Female,22,1,46.0,0,< 1 Year,Yes,34410.0,152.0,225,0
1162,Female,22,1,45.0,0,1-2 Year,Yes,30233.0,124.0,101,0
1163,Female,27,1,41.0,1,< 1 Year,No,36242.0,160.0,81,0
1164,Male,28,1,16.0,1,< 1 Year,No,23705.0,152.0,277,0
1165,Male,44,1,28.0,1,1-2 Year,No,68319.0,125.0,188,0
1166,Male,61,1,46.0,0,1-2 Year,Yes,86408.0,26.0,42,0
1167,Female,73,1,48.0,1,1-2 Year,No,2630.0,26.0,127,0
1168,Female,23,1,37.0,0,< 1 Year,Yes,36981.0,152.0,105,0
1169,Female,32,1,24.0,1,1-2 Year,No,2630.0,26.0,114,0
1170,Male,30,1,46.0,1,< 1 Year,No,28557.0,152.0,203,0
1171,Male,25,1,8.0,1,< 1 Year,No,30989.0,152.0,274,0
1172,Male,60,1,22.0,1,1-2 Year,No,21904.0,124.0,219,0
1173,Female,36,1,28.0,0,1-2 Year,Yes,38719.0,152.0,54,1
1174,Female,50,1,18.0,1,1-2 Year,No,25197.0,124.0,239,0
1175,Male,69,1,28.0,0,1-2 Year,Yes,32869.0,26.0,129,0
1176,Female,20,1,15.0,0,< 1 Year,Yes,25368.0,160.0,29,0
1177,Male,75,1,35.0,0,1-2 Year,Yes,45569.0,10.0,68,0
1178,Male,28,1,28.0,0,< 1 Year,Yes,47481.0,122.0,102,0
1179,Female,27,1,50.0,1,< 1 Year,No,41123.0,152.0,278,0
1180,Male,26,1,29.0,1,< 1 Year,No,37998.0,152.0,203,0
1181,Female,23,1,16.0,0,< 1 Year,No,16505.0,152.0,275,0
1182,Female,23,1,41.0,1,< 1 Year,No,31121.0,152.0,229,0
1183,Male,48,1,8.0,0,1-2 Year,Yes,33780.0,30.0,181,0
1184,Male,71,1,43.0,0,1-2 Year,Yes,24553.0,26.0,77,0
1185,Male,75,1,28.0,0,1-2 Year,Yes,31514.0,124.0,266,0
1186,Female,55,1,7.0,0,1-2 Year,No,2630.0,26.0,51,0
1187,Male,23,1,28.0,0,< 1 Year,Yes,26563.0,152.0,19,0
1188,Female,29,1,41.0,1,< 1 Year,No,31511.0,152.0,139,0
1189,Male,28,1,13.0,0,< 1 Year,Yes,24076.0,154.0,183,1
1190,Male,25,1,28.0,1,< 1 Year,No,32692.0,152.0,89,0
1191,Female,24,1,26.0,1,< 1 Year,No,21016.0,152.0,18,0
1192,Female,42,1,28.0,0,1-2 Year,No,30175.0,152.0,24,0
1193,Female,55,1,28.0,0,> 2 Years,Yes,47488.0,26.0,275,0
1194,Male,22,1,28.0,1,< 1 Year,No,41237.0,152.0,152,0
1195,Male,45,1,35.0,0,1-2 Year,Yes,36614.0,124.0,294,0
1196,Female,43,1,28.0,0,1-2 Year,Yes,35380.0,26.0,38,0
1197,Female,38,1,28.0,1,1-2 Year,No,29320.0,26.0,272,0
1198,Female,26,1,2.0,1,< 1 Year,No,29126.0,152.0,292,0
1199,Female,36,1,28.0,0,1-2 Year,Yes,68481.0,124.0,281,0
1200,Female,42,1,28.0,0,1-2 Year,Yes,30812.0,26.0,20,0
1201,Male,48,1,28.0,0,1-2 Year,No,32571.0,124.0,87,0
1202,Female,22,1,4.0,1,< 1 Year,No,2630.0,152.0,12,0
1203,Male,24,1,41.0,1,< 1 Year,No,36255.0,152.0,238,0
1204,Male,59,1,31.0,1,1-2 Year,No,2630.0,148.0,145,0
1205,Female,23,1,10.0,1,< 1 Year,No,26253.0,152.0,49,0
1206,Male,24,1,11.0,1,< 1 Year,No,2630.0,152.0,209,0
1207,Male,48,1,28.0,0,1-2 Year,Yes,55803.0,26.0,196,1
1208,Female,25,1,8.0,1,< 1 Year,No,40341.0,152.0,249,0
1209,Male,29,1,28.0,0,< 1 Year,Yes,2630.0,156.0,143,0
1210,Female,25,1,8.0,1,< 1 Year,No,58539.0,152.0,276,0
1211,Male,58,1,39.0,0,1-2 Year,Yes,46599.0,26.0,216,0
1212,Male,27,1,37.0,1,< 1 Year,No,31340.0,152.0,169,0
1213,Female,26,1,15.0,1,< 1 Year,No,29705.0,152.0,130,0
1214,Female,23,1,11.0,0,< 1 Year,Yes,35618.0,156.0,138,0
1215,Male,20,1,10.0,0,< 1 Year,Yes,27177.0,163.0,207,1
1216,Female,26,1,30.0,0,< 1 Year,Yes,2630.0,26.0,164,0
1217,Male,46,1,28.0,0,1-2 Year,Yes,23994.0,124.0,234,1
1218,Male,44,1,1.0,0,> 2 Years,Yes,2630.0,124.0,28,0
1219,Female,25,1,10.0,1,< 1 Year,No,28707.0,152.0,208,0
1220,Female,57,1,28.0,0,1-2 Year,Yes,33471.0,26.0,285,0
1221,Female,25,1,11.0,1,< 1 Year,No,11766.0,152.0,155,0
1222,Male,74,1,28.0,1,1-2 Year,No,36190.0,124.0,130,0
1223,Male,35,1,35.0,0,1-2 Year,No,37862.0,124.0,148,0
1224,Male,42,1,29.0,1,1-2 Year,No,21010.0,26.0,240,0
1225,Female,77,1,35.0,0,1-2 Year,Yes,2630.0,156.0,208,0
1226,Female,24,1,28.0,1,< 1 Year,No,45730.0,152.0,285,0
1227,Male,23,1,46.0,0,< 1 Year,Yes,2630.0,124.0,143,0
1228,Male,43,1,0.0,1,1-2 Year,Yes,2630.0,30.0,234,0
1229,Female,26,1,46.0,0,< 1 Year,Yes,27755.0,152.0,113,0
1230,Female,25,1,37.0,1,< 1 Year,No,36719.0,152.0,37,0
1231,Male,53,1,0.0,0,1-2 Year,Yes,2630.0,122.0,289,0
1232,Female,22,1,29.0,1,< 1 Year,No,27670.0,152.0,212,0
1233,Female,28,1,12.0,0,< 1 Year,Yes,31538.0,152.0,207,0
1234,Female,21,1,47.0,0,< 1 Year,Yes,28111.0,160.0,45,0
1235,Male,45,1,28.0,0,1-2 Year,Yes,44396.0,124.0,102,0
1236,Male,60,1,12.0,0,1-2 Year,Yes,44193.0,26.0,65,0
1237,Female,28,1,33.0,1,< 1 Year,No,2630.0,152.0,214,0
1238,Male,27,1,35.0,1,< 1 Year,No,2630.0,152.0,203,0
1239,Male,45,1,33.0,0,> 2 Years,Yes,32382.0,155.0,226,0
1240,Female,50,1,28.0,0,1-2 Year,Yes,61917.0,154.0,222,0
1241,Female,27,1,7.0,0,< 1 Year,Yes,2630.0,152.0,36,0
1242,Female,24,1,9.0,1,< 1 Year,No,2630.0,160.0,245,0
1243,Female,48,1,28.0,0,1-2 Year,Yes,39299.0,26.0,70,1
1244,Male,24,1,46.0,1,< 1 Year,No,28256.0,152.0,59,0
1245,Male,54,1,28.0,1,1-2 Year,Yes,58101.0,124.0,98,0
1246,Female,66,1,28.0,0,1-2 Year,Yes,27889.0,26.0,89,0
1247,Male,22,1,8.0,0,< 1 Year,Yes,56331.0,152.0,101,0
1248,Male,23,1,30.0,1,< 1 Year,No,38275.0,152.0,11,0
1249,Male,49,1,28.0,1,1-2 Year,Yes,40184.0,124.0,102,0
1250,Male,35,1,28.0,1,1-2 Year,No,29970.0,26.0,299,0
1251,Female,55,1,29.0,0,1-2 Year,Yes,2630.0,156.0,266,0
1252,Male,31,1,50.0,0,< 1 Year,Yes,29934.0,8.0,53,0
1253,Male,79,1,28.0,0,1-2 Year,Yes,47620.0,26.0,55,0
1254,Male,27,1,46.0,1,< 1 Year,No,32786.0,152.0,260,0
1255,Male,39,1,29.0,0,1-2 Year,No,35959.0,157.0,140,0
1256,Female,37,1,28.0,1,1-2 Year,No,22196.0,124.0,48,0
1257,Female,22,1,30.0,1,< 1 Year,No,20219.0,152.0,177,0
1258,Female,31,1,8.0,1,< 1 Year,No,31206.0,152.0,215,0
1259,Male,63,1,46.0,0,1-2 Year,Yes,26238.0,124.0,295,0
1260,Male,75,1,28.0,1,1-2 Year,No,61648.0,26.0,252,0
1261,Male,41,1,28.0,0,1-2 Year,No,26800.0,122.0,52,0
1262,Male,39,1,6.0,1,1-2 Year,No,37947.0,124.0,130,0
1263,Male,48,1,28.0,0,1-2 Year,No,30408.0,124.0,229,0
1264,Male,62,1,35.0,1,1-2 Year,No,2630.0,152.0,48,0
1265,Female,43,1,28.0,0,1-2 Year,Yes,25397.0,26.0,137,0
1266,Male,51,1,28.0,0,1-2 Year,Yes,54238.0,124.0,87,1
1267,Female,25,1,27.0,1,< 1 Year,No,2630.0,152.0,238,0
1268,Female,23,1,32.0,0,< 1 Year,Yes,19988.0,151.0,192,0
1269,Male,72,1,8.0,0,1-2 Year,Yes,39575.0,26.0,254,0
1270,Male,45,1,11.0,0,1-2 Year,Yes,28415.0,26.0,274,1
1271,Female,59,1,37.0,1,1-2 Year,No,42807.0,124.0,125,0
1272,Male,23,1,11.0,1,< 1 Year,No,33408.0,152.0,126,0
1273,Female,23,1,28.0,1,< 1 Year,No,41130.0,152.0,167,0
1274,Female,25,1,50.0,1,< 1 Year,No,28052.0,152.0,90,0
1275,Female,24,1,13.0,1,< 1 Year,No,31858.0,151.0,133,0
1276,Female,22,1,28.0,1,< 1 Year,No,43505.0,152.0,218,0
1277,Female,26,1,50.0,1,< 1 Year,No,2630.0,160.0,173,0
1278,Male,24,1,43.0,0,< 1 Year,No,2630.0,152.0,147,0
1279,Male,75,1,28.0,1,1-2 Year,No,65021.0,26.0,17,0
1280,Female,48,1,6.0,1,1-2 Year,No,28941.0,26.0,176,0
1281,Female,23,1,3.0,1,< 1 Year,No,34339.0,152.0,277,0
1282,Female,64,1,28.0,0,1-2 Year,Yes,30662.0,9.0,243,0
1283,Female,21,1,47.0,0,< 1 Year,Yes,29785.0,152.0,232,0
1284,Male,40,1,10.0,1,1-2 Year,No,29919.0,154.0,69,0
1285,Male,51,1,48.0,0,1-2 Year,Yes,2630.0,26.0,242,0
1286,Male,42,1,48.0,1,1-2 Year,Yes,2630.0,26.0,193,0
1287,Male,77,1,29.0,0,1-2 Year,Yes,2630.0,26.0,144,0
1288,Male,66,1,46.0,1,1-2 Year,No,35877.0,124.0,88,0
1289,Male,26,1,15.0,0,< 1 Year,Yes,36498.0,152.0,16,0
1290,Female,47,1,8.0,1,1-2 Year,No,49753.0,124.0,96,0
1291,Female,69,1,28.0,1,1-2 Year,No,36658.0,26.0,61,0
1292,Male,25,1,46.0,1,< 1 Year,No,23945.0,152.0,20,0
1293,Female,58,1,28.0,0,1-2 Year,Yes,40000.0,26.0,87,0
1294,Female,42,1,8.0,0,1-2 Year,Yes,39952.0,124.0,233,1
1295,Female,26,1,28.0,1,< 1 Year,No,44016.0,152.0,134,0
1296,Female,25,1,47.0,1,< 1 Year,No,35544.0,152.0,251,0
1297,Male,54,1,28.0,0,> 2 Years,Yes,40437.0,124.0,120,0
1298,Male,59,1,28.0,0,> 2 Years,Yes,47488.0,26.0,248,1
1299,Male,73,1,37.0,0,1-2 Year,Yes,33994.0,26.0,93,0
1300,Female,47,1,28.0,0,1-2 Year,Yes,35201.0,3.0,135,1
1301,Male,21,1,15.0,1,< 1 Year,No,39087.0,152.0,105,0
1302,Male,36,1,28.0,1,1-2 Year,No,36141.0,124.0,195,0
1303,Male,28,1,28.0,1,< 1 Year,No,84671.0,152.0,271,0
1304,Female,70,1,21.0,0,1-2 Year,No,25477.0,26.0,233,0
1305,Female,24,1,15.0,0,< 1 Year,No,27121.0,152.0,17,0
1306,Male,59,1,14.0,0,1-2 Year,Yes,22486.0,26.0,160,1
1307,Male,35,1,45.0,1,1-2 Year,No,25962.0,26.0,234,0
1308,Female,48,1,24.0,1,1-2 Year,No,42791.0,124.0,260,0
1309,Male,42,1,28.0,0,> 2 Years,Yes,39220.0,122.0,183,1
1310,Female,69,1,28.0,1,1-2 Year,No,69856.0,124.0,188,0
1311,Male,45,1,41.0,0,1-2 Year,Yes,30755.0,157.0,43,1
1312,Female,74,1,28.0,0,> 2 Years,Yes,31146.0,26.0,126,0
1313,Female,24,1,27.0,1,< 1 Year,No,44747.0,152.0,58,0
1314,Female,27,1,29.0,1,< 1 Year,No,26315.0,152.0,123,0
1315,Male,37,1,8.0,0,1-2 Year,Yes,59105.0,13.0,197,0
1316,Male,52,1,28.0,0,1-2 Year,Yes,44073.0,124.0,93,0
1317,Male,43,1,41.0,0,1-2 Year,Yes,69281.0,26.0,154,0
1318,Female,20,1,2.0,1,< 1 Year,No,32038.0,160.0,291,0
1319,Male,50,1,28.0,1,1-2 Year,No,2630.0,26.0,157,0
1320,Male,47,1,28.0,1,1-2 Year,No,36998.0,122.0,11,0
1321,Male,22,1,30.0,1,< 1 Year,No,28370.0,152.0,251,0
1322,Male,47,1,8.0,1,1-2 Year,No,66504.0,7.0,16,0
1323,Male,26,1,30.0,1,< 1 Year,No,31885.0,152.0,165,0
1324,Male,37,1,15.0,1,1-2 Year,No,2630.0,124.0,75,0
1325,Female,71,1,28.0,1,1-2 Year,No,40980.0,122.0,255,0
1326,Female,21,1,28.0,0,1-2 Year,Yes,38071.0,154.0,44,0
1327,Male,75,1,41.0,1,1-2 Year,Yes,42793.0,26.0,203,0
1328,Female,26,1,41.0,0,< 1 Year,Yes,28650.0,26.0,22,0
1329,Male,52,1,33.0,1,1-2 Year,No,24374.0,26.0,31,0
1330,Male,25,1,46.0,1,< 1 Year,No,55200.0,152.0,136,0
1331,Female,48,1,28.0,0,> 2 Years,Yes,36902.0,26.0,110,0
1332,Male,25,1,29.0,1,< 1 Year,No,33174.0,152.0,219,0
1333,Male,21,1,36.0,1,< 1 Year,No,29345.0,152.0,157,0
1334,Female,26,1,30.0,1,< 1 Year,No,41837.0,152.0,13,0
1335,Female,60,1,46.0,1,1-2 Year,No,2630.0,26.0,215,0
1336,Male,33,1,31.0,0,< 1 Year,Yes,2630.0,124.0,183,1
1337,Female,24,1,50.0,1,< 1 Year,No,22370.0,152.0,215,0
1338,Male,74,1,46.0,1,1-2 Year,No,25119.0,124.0,38,0
1339,Male,46,1,34.0,0,1-2 Year,Yes,30014.0,26.0,185,0
1340,Male,43,1,50.0,1,1-2 Year,No,34009.0,8.0,62,0
1341,Female,39,1,8.0,0,1-2 Year,Yes,48025.0,124.0,291,1
1342,Male,47,1,29.0,1,1-2 Year,No,26123.0,26.0,84,0
1343,Male,48,1,20.0,0,1-2 Year,Yes,2630.0,124.0,94,1
1344,Female,52,1,28.0,0,1-2 Year,Yes,2630.0,158.0,219,1
1345,Female,29,1,46.0,1,< 1 Year,No,2630.0,26.0,287,0
1346,Female,22,1,25.0,0,< 1 Year,Yes,26860.0,152.0,268,0
1347,Female,41,1,28.0,1,1-2 Year,No,34089.0,26.0,210,0
1348,Female,23,1,8.0,1,< 1 Year,No,26426.0,152.0,84,0
1349,Female,23,1,4.0,1,< 1 Year,No,37841.0,152.0,254,0
1350,Female,27,1,16.0,1,< 1 Year,No,2630.0,152.0,122,0
1351,Male,27,1,28.0,0,< 1 Year,No,78807.0,152.0,141,0
1352,Male,47,1,8.0,1,1-2 Year,No,28073.0,26.0,70,0
1353,Female,23,1,39.0,1,< 1 Year,No,2630.0,152.0,141,0
1354,Male,43,1,46.0,0,1-2 Year,Yes,36276.0,26.0,29,0
1355,Male,36,1,15.0,0,1-2 Year,Yes,25268.0,152.0,103,0
1356,Female,38,1,28.0,0,1-2 Year,Yes,34308.0,124.0,292,0
1357,Male,53,1,29.0,0,1-2 Year,No,28725.0,157.0,270,0
1358,Male,39,1,41.0,0,1-2 Year,Yes,39377.0,26.0,40,1
1359,Male,45,1,28.0,0,1-2 Year,Yes,51607.0,37.0,56,0
1360,Female,33,1,28.0,1,< 1 Year,No,29558.0,152.0,121,0
1361,Male,21,1,32.0,0,< 1 Year,Yes,36897.0,152.0,274,0
1362,Female,60,1,28.0,0,> 2 Years,Yes,107971.0,124.0,259,0
1363,Female,39,1,14.0,0,1-2 Year,Yes,2630.0,156.0,15,1
1364,Female,36,1,41.0,1,1-2 Year,No,32500.0,152.0,77,0
1365,Female,32,1,37.0,0,< 1 Year,No,31437.0,152.0,142,0
1366,Male,51,1,35.0,1,1-2 Year,No,2630.0,156.0,168,0
1367,Female,39,1,28.0,0,1-2 Year,Yes,55570.0,26.0,71,1
1368,Male,24,1,35.0,0,< 1 Year,Yes,38572.0,124.0,111,0
1369,Male,39,1,0.0,0,1-2 Year,No,2630.0,61.0,240,0
1370,Male,25,1,29.0,1,< 1 Year,No,34077.0,152.0,280,0
1371,Male,49,1,8.0,1,1-2 Year,No,48542.0,26.0,89,0
1372,Female,24,1,41.0,1,< 1 Year,No,52705.0,152.0,10,0
1373,Female,25,1,46.0,0,< 1 Year,Yes,27995.0,152.0,25,0
1374,Female,42,1,28.0,0,1-2 Year,Yes,42454.0,122.0,167,0
1375,Female,24,1,52.0,1,< 1 Year,No,2630.0,160.0,44,0
1376,Female,25,1,30.0,1,< 1 Year,No,30843.0,152.0,147,0
1377,Male,55,1,28.0,0,1-2 Year,Yes,54964.0,48.0,267,1
1378,Female,57,1,35.0,1,1-2 Year,No,33474.0,152.0,120,0
1379,Male,45,1,28.0,0,1-2 Year,Yes,23281.0,26.0,167,0
1380,Male,21,1,3.0,1,< 1 Year,No,45588.0,160.0,99,0
1381,Female,26,1,46.0,0,< 1 Year,Yes,37828.0,152.0,78,0
1382,Female,56,1,20.0,0,1-2 Year,Yes,2630.0,124.0,72,0
1383,Female,27,1,28.0,1,< 1 Year,No,44191.0,152.0,136,0
1384,Male,22,1,8.0,1,< 1 Year,No,36432.0,152.0,135,0
1385,Female,33,1,26.0,0,< 1 Year,Yes,28402.0,124.0,297,1
1386,Female,61,1,8.0,1,1-2 Year,No,53990.0,7.0,250,0
1387,Male,49,1,23.0,0,1-2 Year,Yes,41680.0,26.0,13,0
1388,Female,52,1,50.0,0,1-2 Year,Yes,27367.0,124.0,242,1
1389,Female,22,1,39.0,1,< 1 Year,No,25542.0,152.0,145,0
1390,Male,22,1,16.0,0,< 1 Year,Yes,22755.0,152.0,159,0
1391,Male,33,1,28.0,0,< 1 Year,Yes,45676.0,122.0,194,0
